경기 번호, 날짜, 닉네임, 요원, 맵, 순위, 킬, 데스, 어시스트, ACS, ADR, DDΔ, HS, FK, FD, MK, PL, DF, 승패
1,2025-06-09-18-53,김뚜띠,네온,어센트,1,23,10,6,314.1,221,112,30,3,1,3,1,0,v
1,2025-06-09-18-53,조별하,클로브,어센트,2,22,13,3,307.45,213,78,36,4,0,2,0,1,v
1,2025-06-09-18-53,미친개정강지,레이나,어센트,5,12,11,3,158.3,106,-13,31,2,2,1,0,0,v
1,2025-06-09-18-53,이춘향,킬조이,어센트,6,10,11,2,144.3,105,0,18,1,3,0,0,0,v
1,2025-06-09-18-53,유봄냥,소바,어센트,7,10,10,7,144.15,115,16,21,2,2,0,4,0,v
1,2025-06-09-18-53,남봉,페이드,어센트,4,11,15,5,178.45,108,-31,18,1,2,2,5,0,l
1,2025-06-09-18-53,러너,킬조이,어센트,8,9,16,3,137.95,97,-53,10,0,3,0,0,0,l
1,2025-06-09-18-53,감제이,제트,어센트,9,10,14,3,135.3,85,-69,13,3,3,1,0,0,l
1,2025-06-09-18-53,아구이뽀,오멘,어센트,10,5,16,7,117.95,86,-65,21,1,1,0,0,0,l
1,2025-06-09-18-53,짜누,아이소,어센트,3,20,16,5,303.65,190,24,31,3,3,3,0,1,l
2,2025-06-09-19-34,조별하,아이소,로터스,1,26,13,2,372.21,227,92,19,5,2,2,0,0,v
2,2025-06-09-19-34,김뚜띠,오멘,로터스,2,23,9,8,341.37,232,81,29,2,1,3,2,0,v
2,2025-06-09-19-34,미친개정강지,킬조이,로터스,3,21,12,2,286.74,201,78,30,4,0,3,0,0,v
2,2025-06-09-19-34,유봄냥,페이드,로터스,8,7,10,5,101.26,71,-33,24,1,1,0,9,1,v
2,2025-06-09-19-34,이춘향,레이즈,로터스,10,3,15,6,77.68,66,-72,11,0,3,0,0,0,v
2,2025-06-09-19-34,짜누,제트,로터스,5,16,16,3,242.21,164,-4,41,5,1,1,0,0,l
2,2025-06-09-19-34,아구이뽀,오멘,로터스,6,12,16,6,171.68,105,-51,21,0,3,0,1,0,l
2,2025-06-09-19-34,러너,바이스,로터스,7,9,15,2,154.89,106,-47,22,1,1,0,0,1,l
2,2025-06-09-19-34,감제이,브리치,로터스,9,5,17,7,83.89,51,-115,14,1,2,0,0,0,l
2,2025-06-09-19-34,남봉,스카이,로터스,4,17,16,5,257.95,174,18,20,0,5,1,3,1,l
3,2025-06-09-20-18,조별하,제트,헤이븐,1,32,14,4,425.9,291,149,31,10,2,4,0,1,v
3,2025-06-09-20-18,짜누,아이소,헤이븐,3,18,15,4,239.95,152,-2,36,3,1,1,0,0,v
3,2025-06-09-20-18,유봄냥,클로브,헤이븐,5,14,14,8,180.9,143,4,30,1,1,0,4,0,v
3,2025-06-09-20-18,푸린,소바,헤이븐,7,14,13,3,174.95,128,3,21,1,0,0,2,0,v
3,2025-06-09-20-18,러너,킬조이,헤이븐,9,11,13,3,147.95,92,-16,4,0,2,1,0,0,v
3,2025-06-09-20-18,감제이,킬조이,헤이븐,4,16,17,5,226.05,147,-9,21,2,4,0,0,0,l
3,2025-06-09-20-18,김뚜띠,소바,헤이븐,6,12,19,3,180.9,123,-41,18,0,2,1,1,0,l
3,2025-06-09-20-18,남봉,브리치,헤이븐,8,10,18,10,155.81,112,-43,33,1,1,1,1,0,l
3,2025-06-09-20-18,아구이뽀,오멘,헤이븐,10,8,17,8,127.52,89,-73,27,0,3,0,4,0,l
3,2025-06-09-20-18,미친개정강지,요루,헤이븐,2,22,18,3,306.05,193,29,18,3,5,3,1,0,l
4,2025-06-09-21-02,푸린,아스트라,펄,3,21,13,2,248.04,166,49,44,0,0,1,4,0,v
4,2025-06-09-21-02,짜누,제트,펄,5,18,15,1,205.26,143,16,32,4,3,2,0,0,v
4,2025-06-09-21-02,유봄냥,페이드,펄,7,16,16,8,171.3,102,-26,29,2,3,0,3,0,v
4,2025-06-09-21-02,러너,킬조이,펄,8,11,16,8,167.61,130,-14,10,3,2,0,0,1,v
4,2025-06-09-21-02,김뚜띠,아이소,펄,1,22,20,6,289.74,205,52,31,1,1,1,0,0,l
4,2025-06-09-21-02,감제이,제트,펄,4,17,18,4,237.91,147,5,16,5,4,3,0,0,l
4,2025-06-09-21-02,아구이뽀,아스트라,펄,6,14,17,5,176.65,107,-23,13,0,2,0,2,0,l
4,2025-06-09-21-02,미친개정강지,킬조이,펄,9,12,17,3,158.09,108,-20,24,2,4,1,0,1,l
4,2025-06-09-21-02,남봉,페이드,펄,10,10,16,13,143.7,100,-34,18,1,3,0,3,0,l
4,2025-06-09-21-02,조별하,피닉스,펄,2,22,15,6,263.26,145,-7,31,5,1,4,0,0,v
5,2025-06-09-21-58,남봉,요루,스플릿,3,21,20,5,257.77,176,37,9,8,2,2,0,0,l
5,2025-06-09-21-58,아구이뽀,오멘,스플릿,5,20,19,6,211.96,131,-13,15,2,1,1,4,0,l
5,2025-06-09-21-58,푸린,소바,스플릿,8,16,17,3,175.96,127,-9,24,0,0,1,3,0,l
5,2025-06-09-21-58,러너,바이스,스플릿,10,9,19,4,111.23,88,-38,22,0,2,0,0,0,l
5,2025-06-09-21-58,짜누,레이나,스플릿,1,24,17,9,287.27,188,32,31,2,3,5,0,0,v
5,2025-06-09-21-58,김뚜띠,레이즈,스플릿,4,23,15,2,231.77,155,28,24,2,6,3,2,1,v
5,2025-06-09-21-58,울프,오멘,스플릿,6,17,19,11,198.23,123,-14,26,2,2,2,1,1,v
5,2025-06-09-21-58,감제이,바이스,스플릿,7,16,20,2,188.15,119,-19,22,3,5,0,0,0,v
5,2025-06-09-21-58,유봄냥,페이드,스플릿,9,14,18,4,157.15,104,-26,30,1,0,0,3,1,v
5,2025-06-09-21-58,조별하,레이나,스플릿,2,23,19,2,258.46,166,22,21,6,5,3,1,0,l
6,2025-06-09-22-50,남봉,브리치,어센트,4,19,15,2,229.38,137,-2,18,3,1,1,7,0,l
6,2025-06-09-22-50,푸린,소바,어센트,6,13,15,6,175.52,112,-23,25,1,1,1,0,0,l
6,2025-06-09-22-50,러너,킬조이,어센트,7,10,16,2,165.33,116,-31,9,2,1,0,0,0,l
6,2025-06-09-22-50,아구이뽀,오멘,어센트,10,4,20,7,75.67,47,-135,8,0,6,0,0,0,l
6,2025-06-09-22-50,김뚜띠,클로브,어센트,1,28,14,5,345.86,251,112,35,0,1,3,0,0,v
6,2025-06-09-22-50,짜누,아이소,어센트,2,23,11,1,300.57,188,80,30,6,3,1,0,0,v
6,2025-06-09-22-50,감제이,킬조이,어센트,5,14,11,3,188.05,125,22,12,3,4,0,0,2,v
6,2025-06-09-22-50,울프,네온,어센트,8,9,15,5,136.95,88,-41,20,2,1,0,0,0,v
6,2025-06-09-22-50,유봄냥,소바,어센트,9,7,11,7,108.24,78,-17,20,1,0,0,7,0,v
6,2025-06-09-22-50,조별하,제트,어센트,3,16,15,6,248.95,162,36,28,3,3,2,0,0,l
7,2025-06-09-23-33,조별하,아이소,로터스,1,32,21,8,353.69,220,66,26,5,2,3,0,0,l
7,2025-06-09-23-33,남봉,레이즈,로터스,4,16,19,10,198.23,132,-18,9,1,6,0,0,1,l
7,2025-06-09-23-33,푸린,소바,로터스,5,18,17,4,195.85,129,-8,29,1,1,1,3,1,l
7,2025-06-09-23-33,러너,체임버,로터스,8,16,18,3,172.65,104,-34,14,3,2,0,0,0,l
7,2025-06-09-23-33,아구이뽀,오멘,로터스,9,12,18,9,140.58,95,-86,15,2,3,1,7,0,l
7,2025-06-09-23-33,짜누,아이소,로터스,3,24,18,9,271.77,191,55,25,5,2,4,0,1,v
7,2025-06-09-23-33,김뚜띠,네온,로터스,6,19,20,5,194.12,124,-54,18,2,5,1,1,0,v
7,2025-06-09-23-33,울프,클로브,로터스,7,18,22,7,182.46,109,-87,15,4,2,2,0,1,v
7,2025-06-09-23-33,유봄냥,페이드,로터스,10,10,17,6,113.5,89,-78,27,1,1,1,9,0,v
7,2025-06-09-23-33,감제이,바이스,로터스,2,22,17,10,272.27,207,91,33,2,2,1,1,0,v
8,2025-06-10-20-31,눈꽃,클로브,로터스,4,25,29,6,213.21,136,-35,25,2,2,2,1,0,l
8,2025-06-10-20-31,미친개정강지,아이소,로터스,5,23,29,11,211.15,152,-1,38,3,4,0,0,3,l
8,2025-06-10-20-31,삼식,게코,로터스,7,24,24,9,191.53,124,-8,31,3,6,3,5,1,l
8,2025-06-10-20-31,러너,바이스,로터스,10,10,26,5,94.65,72,-61,9,2,4,0,0,1,l
8,2025-06-10-20-31,짜누,제트,로터스,1,50,22,4,418.62,240,108,31,15,6,6,0,0,v
8,2025-06-10-20-31,울프,바이스,로터스,3,28,21,8,234.74,160,51,31,2,1,1,2,0,v
8,2025-06-10-20-31,임나은,오멘,로터스,6,25,21,15,209.59,131,7,11,1,1,3,6,0,v
8,2025-06-10-20-31,마뫄,페이드,로터스,8,21,22,13,174.38,120,-15,29,0,1,0,5,2,v
8,2025-06-10-20-31,뱅,피닉스,로터스,9,10,27,12,119.44,88,-78,6,2,5,0,0,0,v
8,2025-06-10-20-31,조별하,제트,로터스,2,31,26,6,271.06,179,31,34,4,4,0,1,1,l
9,2025-06-10-21-36,푸린,소바,어센트,1,16,5,9,275.5,197,138,22,1,1,0,1,2,v
9,2025-06-10-21-36,미친개정강지,레이나,어센트,2,15,7,6,256.19,172,68,33,2,2,1,1,1,v
9,2025-06-10-21-36,조별하,제트,어센트,3,16,7,2,250.88,168,85,18,3,1,1,0,1,v
9,2025-06-10-21-36,눈꽃,클로브,어센트,4,14,10,5,247.0,174,61,16,0,3,2,1,1,v
9,2025-06-10-21-36,러너,킬조이,어센트,7,10,8,5,161.0,106,25,12,1,2,0,0,0,v
9,2025-06-10-21-36,임나은,소바,어센트,6,11,14,1,170.19,100,-52,16,1,0,0,4,0,l
9,2025-06-10-21-36,뱅,킬조이,어센트,8,6,13,2,135.31,92,-56,26,1,3,0,0,1,l
9,2025-06-10-21-36,마뫄,제트,어센트,9,5,14,3,105.5,73,-94,8,1,1,0,1,0,l
9,2025-06-10-21-36,울프,오멘,어센트,10,3,15,4,66.0,40,-132,7,0,0,0,1,0,l
9,2025-06-10-21-36,짜누,레이나,어센트,5,12,15,1,233.25,134,-43,41,6,3,0,0,0,l
10,2025-06-10-22-12,조별하,레이나,스플릿,1,29,14,5,380.33,229,86,24,5,1,4,4,1,l
10,2025-06-10-22-12,마뫄,제트,스플릿,5,17,17,7,252.95,172,14,18,1,2,2,0,0,l
10,2025-06-10-22-12,러너,킬조이,스플릿,6,13,18,4,193.38,121,-34,16,3,2,0,1,0,l
10,2025-06-10-22-12,뱅,오멘,스플릿,8,11,16,8,155.48,92,-53,14,3,4,0,1,0,l
10,2025-06-10-22-12,눈꽃,스카이,스플릿,10,7,18,4,87.67,69,-87,17,0,0,0,0,0,l
10,2025-06-10-22-12,푸린,오멘,스플릿,3,21,18,4,291.48,210,58,19,3,2,2,1,0,v
10,2025-06-10-22-12,미친개정강지,아이소,스플릿,4,22,17,3,269.33,175,-18,42,2,2,2,1,0,v
10,2025-06-10-22-12,임나은,스카이,스플릿,7,12,13,12,178.43,108,-16,12,0,1,1,6,0,v
10,2025-06-10-22-12,울프,사이퍼,스플릿,9,6,14,4,94.86,72,-52,14,0,1,0,1,1,v
10,2025-06-10-22-12,짜누,제트,스플릿,2,22,15,4,302.14,192,55,27,4,6,4,0,1,v
11,2025-06-10-22-55,러너,킬조이,헤이븐,6,14,15,0,183.95,121,-33,14,1,3,0,0,0,l
11,2025-06-10-22-55,눈꽃,레이나,헤이븐,7,12,16,5,180.68,117,-34,23,1,2,0,0,0,l
11,2025-06-10-22-55,뱅,클로브,헤이븐,8,11,19,4,165.16,105,-70,22,1,3,1,0,0,l
11,2025-06-10-22-55,마뫄,소바,헤이븐,9,6,15,5,131.68,95,-56,17,1,0,0,5,0,l
11,2025-06-10-22-55,푸린,오멘,헤이븐,1,22,14,7,317.21,201,65,35,5,1,3,2,0,v
11,2025-06-10-22-55,짜누,레이나,헤이븐,2,22,10,3,311.74,197,79,33,4,4,2,0,1,v
11,2025-06-10-22-55,울프,네온,헤이븐,3,19,12,8,291.63,175,47,27,0,1,1,0,1,v
11,2025-06-10-22-55,미친개정강지,킬조이,헤이븐,5,14,11,3,198.84,144,26,23,1,2,0,1,1,v
11,2025-06-10-22-55,임나은,소바,헤이븐,10,4,13,8,76.95,57,-73,17,0,1,0,2,0,v
11,2025-06-10-22-55,조별하,제트,헤이븐,4,17,16,5,281.84,192,49,35,5,2,0,1,1,l
12,2025-06-10-23-35,조별하,체임버,펄,1,21,7,2,334.35,216,131,20,6,0,3,0,1,v
12,2025-06-10-23-35,뱅,레이나,펄,2,17,9,6,302.53,183,78,16,3,1,0,0,0,v
12,2025-06-10-23-35,눈꽃,제트,펄,3,15,11,2,246.41,150,3,22,5,2,0,0,1,v
12,2025-06-10-23-35,김뚜띠,아스트라,펄,5,15,6,11,216.12,137,61,29,0,0,2,1,1,v
12,2025-06-10-23-35,임나은,페이드,펄,9,5,11,8,96.88,72,-52,6,0,0,0,2,0,v
12,2025-06-10-23-35,짜누,제트,펄,6,10,15,2,203.76,170,7,33,1,2,2,0,0,l
12,2025-06-10-23-35,울프,하버,펄,7,8,13,3,134.71,84,-58,8,0,0,1,0,0,l
12,2025-06-10-23-35,푸린,체임버,펄,8,8,15,1,132.35,76,-64,42,1,6,0,0,1,l
12,2025-06-10-23-35,마뫄,오멘,펄,10,4,16,3,87.12,60,-101,8,1,5,0,1,0,l
12,2025-06-10-23-35,미친개정강지,페이드,펄,4,14,14,2,219.29,147,-5,35,0,1,1,3,0,l
13,2025-06-11-00-17,조별하,브리치,로터스,1,23,12,8,301.36,207,84,30,1,3,3,0,0,v
13,2025-06-11-00-17,뱅,아이소,로터스,2,20,14,6,269.18,160,14,18,3,4,2,0,0,v
13,2025-06-11-00-17,눈꽃,제트,로터스,4,19,12,1,231.23,141,23,18,5,2,2,0,0,v
13,2025-06-11-00-17,김뚜띠,바이퍼,로터스,6,15,15,5,209.27,163,-5,27,2,0,0,0,0,v
13,2025-06-11-00-17,임나은,오멘,로터스,9,7,14,13,114.91,73,-52,6,1,1,0,11,0,v
13,2025-06-11-00-17,마뫄,레이즈,로터스,5,16,17,7,226.18,143,-4,9,3,4,2,0,0,l
13,2025-06-11-00-17,짜누,아이소,로터스,7,16,16,4,204.95,153,6,46,2,2,1,0,3,l
13,2025-06-11-00-17,푸린,오멘,로터스,8,12,16,5,145.95,96,-60,50,2,2,0,0,0,l
13,2025-06-11-00-17,울프,브리치,로터스,10,5,19,7,73.36,53,-153,8,0,2,0,2,0,l
13,2025-06-11-00-17,미친개정강지,킬조이,로터스,3,18,16,3,260.09,189,57,25,3,2,0,2,0,l
14,2025-06-11-01-07,핑맨,피닉스,어센트,4,20,18,1,219.91,153,-31,49,2,3,2,0,1,l
14,2025-06-11-01-07,마뫄,소바,어센트,5,16,19,8,198.91,145,-11,15,1,1,0,2,0,l
14,2025-06-11-01-07,임나은,오멘,어센트,7,15,17,8,193.43,115,-42,20,0,0,1,6,1,l
14,2025-06-11-01-07,눈꽃,바이스,어센트,10,6,21,3,100.7,80,-85,13,0,6,0,0,0,l
14,2025-06-11-01-07,김뚜띠,레이나,어센트,1,31,13,4,369.7,243,124,25,2,1,5,1,1,v
14,2025-06-11-01-07,푸린,킬조이,어센트,3,20,17,3,249.3,170,28,37,2,2,1,0,1,v
14,2025-06-11-01-07,울프,제트,어센트,6,15,19,6,197.3,144,-10,26,4,1,0,0,0,v
14,2025-06-11-01-07,뱅,오멘,어센트,8,15,17,6,193.22,139,-3,24,4,4,1,0,0,v
14,2025-06-11-01-07,유봄냥,소바,어센트,9,13,14,11,178.52,124,-3,25,2,1,1,8,1,v
14,2025-06-11-01-07,조별하,제트,어센트,2,23,19,5,300.57,193,34,36,6,4,3,1,0,l
15,2025-06-11-01-56,조별하,제트,헤이븐,1,31,18,3,339.69,208,71,36,5,5,2,1,1,v
15,2025-06-11-01-56,핑맨,요루,헤이븐,4,25,17,4,261.23,186,40,40,3,5,3,1,0,v
15,2025-06-11-01-56,눈꽃,클로브,헤이븐,5,22,23,8,244.35,157,-6,21,3,2,0,1,0,v
15,2025-06-11-01-56,임나은,레이나,헤이븐,7,14,19,6,152.73,108,-35,8,0,2,1,1,0,v
15,2025-06-11-01-56,마뫄,소바,헤이븐,9,11,16,6,125.92,93,-15,15,0,1,0,7,0,v
15,2025-06-11-01-56,푸린,소바,헤이븐,3,25,20,7,287.04,193,60,28,4,1,3,7,0,l
15,2025-06-11-01-56,뱅,아이소,헤이븐,6,18,21,7,201.5,134,-17,25,3,4,1,1,1,l
15,2025-06-11-01-56,유봄냥,사이퍼,헤이븐,8,12,22,6,142.12,112,-42,25,1,1,0,1,0,l
15,2025-06-11-01-56,울프,오멘,헤이븐,10,8,22,8,112.5,78,-81,15,2,1,0,0,1,l
15,2025-06-11-01-56,김뚜띠,네온,헤이븐,2,29,18,3,300.08,177,24,21,5,4,5,0,0,l
16,2025-06-11-02-50,조별하,사이퍼,스플릿,1,31,17,4,329.19,208,72,30,5,3,3,2,0,l
16,2025-06-11-02-50,유봄냥,제트,스플릿,4,20,20,4,225.38,151,1,28,1,1,1,1,1,l
16,2025-06-11-02-50,푸린,오멘,스플릿,5,21,19,8,225.12,158,15,27,3,2,1,1,0,l
16,2025-06-11-02-50,마뫄,페이드,스플릿,8,13,19,8,145.12,95,-43,10,1,4,0,5,2,l
16,2025-06-11-02-50,따효니,네온,스플릿,10,8,23,3,101.46,66,-105,4,1,5,0,0,0,l
16,2025-06-11-02-50,뱅,오멘,스플릿,3,25,17,12,294.96,189,59,16,4,0,3,3,1,v
16,2025-06-11-02-50,핑맨,아이소,스플릿,6,20,22,4,214.12,145,-14,42,6,6,3,1,0,v
16,2025-06-11-02-50,울프,스카이,스플릿,7,15,18,9,149.77,90,-44,17,1,2,1,7,0,v
16,2025-06-11-02-50,임나은,사이퍼,스플릿,9,11,18,7,135.27,95,-33,7,0,2,0,0,0,v
16,2025-06-11-02-50,김뚜띠,레이즈,스플릿,2,27,18,6,303.62,218,92,26,4,1,2,0,0,v
17,2025-06-11-03-44,조별하,체임버,펄,1,26,14,5,345.82,240,26,30,3,5,2,0,0,l
17,2025-06-11-03-44,푸린,아스트라,펄,2,27,14,11,334.59,211,47,21,2,1,3,1,0,l
17,2025-06-11-03-44,마뫄,레이나,펄,5,11,17,7,176.14,117,-44,14,3,4,1,0,0,l
17,2025-06-11-03-44,따효니,제트,펄,9,6,20,5,97.36,75,-86,12,0,4,0,0,1,l
17,2025-06-11-03-44,유봄냥,페이드,펄,10,7,15,5,91.77,61,-63,25,0,0,0,8,0,l
17,2025-06-11-03-44,뱅,킬조이,펄,4,17,17,5,236.05,157,1,20,6,3,0,0,0,v
17,2025-06-11-03-44,임나은,페이드,펄,6,12,16,10,168.09,110,-40,14,2,1,1,6,2,v
17,2025-06-11-03-44,김뚜띠,아스트라,펄,7,13,15,4,167.14,109,-16,18,1,3,0,2,2,v
17,2025-06-11-03-44,울프,네온,펄,8,13,14,3,151.59,101,-11,29,1,0,1,0,0,v
17,2025-06-11-03-44,핑맨,피닉스,펄,3,25,15,1,314.18,211,50,53,4,1,2,1,0,v
18,2025-06-11-04-31,조별하,바이퍼,로터스,1,24,16,8,286.92,194,74,30,2,2,2,1,2,l
18,2025-06-11-04-31,푸린,오멘,로터스,5,19,19,8,238.25,148,0,27,1,1,1,1,0,l
18,2025-06-11-04-31,유봄냥,제트,로터스,7,15,20,6,192.08,120,-25,26,5,6,0,0,0,l
18,2025-06-11-04-31,따효니,피닉스,로터스,8,12,20,1,156.79,104,-79,13,1,3,0,0,2,l
18,2025-06-11-04-31,마뫄,페이드,로터스,10,8,19,11,101.17,69,-63,16,1,2,0,6,1,l
18,2025-06-11-04-31,뱅,바이스,로터스,3,19,13,9,250.54,168,55,13,2,1,1,0,3,v
18,2025-06-11-04-31,김뚜띠,페이드,로터스,4,19,14,15,240.38,157,2,31,1,0,2,0,0,v
18,2025-06-11-04-31,핑맨,아이소,로터스,6,19,21,2,220.13,142,-12,36,6,5,1,0,0,v
18,2025-06-11-04-31,임나은,오멘,로터스,9,11,16,15,151.67,89,-48,8,1,1,0,10,1,v
18,2025-06-11-04-31,울프,제트,로터스,2,26,14,2,267.46,172,54,22,4,3,2,0,0,v
19,2025-06-11-19-17,조별하,제트,어센트,1,38,19,6,443.42,275,132,34,9,2,4,2,0,v
19,2025-06-11-19-17,미친개정강지,레이나,어센트,3,27,20,5,279.23,182,-11,21,2,1,1,0,2,v
19,2025-06-11-19-17,백곰파,사이퍼,어센트,7,13,20,3,147.92,112,-45,19,1,2,1,0,0,v
19,2025-06-11-19-17,푸린,소바,어센트,9,11,23,7,136.73,87,-60,11,3,6,1,0,1,v
19,2025-06-11-19-17,유봄냥,오멘,어센트,10,6,18,9,71.88,52,-76,6,0,0,0,7,2,v
19,2025-06-11-19-17,빅헤드,아스트라,어센트,4,20,19,7,236.96,181,44,23,1,2,1,2,0,l
19,2025-06-11-19-17,뱅,소바,어센트,5,19,19,6,199.0,125,-22,19,2,1,2,6,2,l
19,2025-06-11-19-17,러너,킬조이,어센트,6,14,19,2,156.31,102,-29,12,0,4,2,0,0,l
19,2025-06-11-19-17,고수달,피닉스,어센트,8,13,19,4,141.12,88,-73,31,4,4,1,0,1,l
19,2025-06-11-19-17,짜누,제트,어센트,2,34,19,3,366.27,231,100,38,4,4,6,0,1,l
20,2025-06-11-20-14,푸린,오멘,로터스,4,23,21,10,268.31,188,36,26,4,2,3,0,1,l
20,2025-06-11-20-14,미친개정강지,아이소,로터스,5,19,20,6,211.04,138,-17,21,1,5,2,0,0,l
20,2025-06-11-20-14,백곰파,사이퍼,로터스,6,15,17,1,151.46,92,-30,19,1,2,1,1,0,l
20,2025-06-11-20-14,유봄냥,페이드,로터스,10,7,17,5,74.92,48,-61,18,0,2,0,9,0,l
20,2025-06-11-20-14,짜누,아이소,로터스,1,35,20,2,390.12,242,65,32,7,1,6,0,0,v
20,2025-06-11-20-14,뱅,제트,로터스,2,32,16,6,353.81,223,86,21,7,5,4,0,0,v
20,2025-06-11-20-14,러너,바이스,로터스,7,12,15,3,123.35,88,-21,24,2,3,0,0,0,v
20,2025-06-11-20-14,빅헤드,오멘,로터스,8,6,19,18,101.81,69,-65,19,0,0,0,0,1,v
20,2025-06-11-20-14,고수달,페이드,로터스,9,9,17,8,93.77,53,-73,22,1,0,0,12,0,v
20,2025-06-11-20-14,조별하,네온,로터스,3,23,19,8,280.04,179,43,25,3,6,2,0,1,l
21,2025-06-11-21-03,조별하,레이나,헤이븐,1,29,11,3,385.95,254,143,27,2,3,4,1,2,v
21,2025-06-11-21-03,미친개정강지,킬조이,헤이븐,3,16,11,1,202.33,133,33,36,1,1,2,1,0,v
21,2025-06-11-21-03,유봄냥,제트,헤이븐,5,14,16,1,186.67,125,-32,36,1,5,1,0,2,v
21,2025-06-11-21-03,푸린,오멘,헤이븐,6,12,15,9,175.76,103,-28,15,1,2,0,1,0,v
21,2025-06-11-21-03,백곰파,소바,헤이븐,8,11,15,4,150.48,105,-35,21,1,4,0,6,0,v
21,2025-06-11-21-03,빅헤드,소바,헤이븐,4,13,15,3,186.71,133,5,21,1,0,0,0,1,l
21,2025-06-11-21-03,뱅,제트,헤이븐,7,11,16,3,166.67,128,-14,17,3,4,1,1,0,l
21,2025-06-11-21-03,러너,킬조이,헤이븐,9,10,16,2,134.33,87,-49,11,2,1,0,1,1,l
21,2025-06-11-21-03,고수달,오멘,헤이븐,10,10,18,4,121.71,70,-84,42,2,0,0,5,0,l
21,2025-06-11-21-03,짜누,레이나,헤이븐,2,24,17,5,345.86,221,61,30,7,1,3,1,0,l
22,2025-06-11-21-52,조별하,피닉스,펄,1,26,15,3,330.57,221,78,36,3,3,5,1,1,v
22,2025-06-11-21-52,짜누,제트,펄,3,21,18,4,276.43,165,10,20,4,3,2,0,1,v
22,2025-06-11-21-52,고수달,페이드,펄,8,14,17,4,161.57,87,-54,26,1,2,0,0,1,v
22,2025-06-11-21-52,임나은,브림스톤,펄,9,9,17,20,149.61,96,-42,5,2,2,0,7,0,v
22,2025-06-11-21-52,백곰파,사이퍼,펄,10,11,18,5,141.3,107,-29,15,2,1,0,0,0,v
22,2025-06-11-21-52,미친개정강지,페이드,펄,4,19,16,4,218.22,132,14,38,1,0,0,2,0,l
22,2025-06-11-21-52,러너,킬조이,펄,5,16,17,3,202.22,151,17,22,2,1,0,0,1,l
22,2025-06-11-21-52,김뚜띠,네온,펄,6,16,16,6,183.96,120,-14,19,2,5,1,0,0,l
22,2025-06-11-21-52,유봄냥,피닉스,펄,7,13,18,7,182.17,129,-43,13,2,4,0,0,1,l
22,2025-06-11-21-52,빅헤드,아스트라,펄,2,21,14,10,281.96,184,20,15,4,2,1,7,0,l
23,2025-06-11-22-37,조별하,레이즈,스플릿,1,27,11,2,358.4,242,123,33,5,2,3,0,1,v
23,2025-06-11-22-37,짜누,아이소,스플릿,2,23,12,3,328.85,213,84,39,7,2,1,1,0,v
23,2025-06-11-22-37,백곰파,사이퍼,스플릿,4,14,14,2,192.35,120,-25,11,1,0,0,0,0,v
23,2025-06-11-22-37,임나은,스카이,스플릿,8,9,14,10,132.95,96,-37,14,0,1,0,7,0,v
23,2025-06-11-22-37,고수달,오멘,스플릿,9,8,11,4,115.15,91,-23,31,1,1,0,2,0,v
23,2025-06-11-22-37,유봄냥,페이드,스플릿,5,12,17,3,177.65,115,-39,18,1,2,2,2,1,l
23,2025-06-11-22-37,미친개정강지,아이소,스플릿,6,11,16,2,172.85,111,-37,24,1,5,0,0,0,l
23,2025-06-11-22-37,빅헤드,오멘,스플릿,7,11,15,6,153.7,103,-45,21,0,3,0,3,0,l
23,2025-06-11-22-37,러너,바이스,스플릿,10,6,16,4,102.8,75,-77,9,1,4,0,0,0,l
23,2025-06-11-22-37,김뚜띠,레이즈,스플릿,3,22,17,4,327.85,234,76,15,3,0,1,0,0,l
24,2025-06-11-23-26,강지형,요루,어센트,1,24,19,3,304.39,189,8,12,3,4,2,1,0,l
24,2025-06-11-23-26,빅헤드,오멘,어센트,4,20,12,13,243.22,152,-12,14,3,2,1,0,0,l
24,2025-06-11-23-26,임나은,소바,어센트,6,14,17,6,190.74,117,-10,6,2,0,0,8,0,l
24,2025-06-11-23-26,고수달,아이소,어센트,8,14,18,5,152.78,107,-45,29,2,1,0,0,0,l
24,2025-06-11-23-26,러너,킬조이,어센트,9,9,18,7,142.09,97,-52,15,3,3,0,0,0,l
24,2025-06-11-23-26,미친개정강지,레이나,어센트,3,23,17,1,283.57,191,26,24,5,4,3,0,0,v
24,2025-06-11-23-26,유봄냥,제트,어센트,5,17,16,4,197.26,134,11,20,1,4,1,1,1,v
24,2025-06-11-23-26,아구이뽀,오멘,어센트,7,13,15,7,168.0,107,-53,23,2,0,1,1,0,v
