경기 번호, 날짜, 닉네임, 요원, 맵, 순위, 킬, 데스, 어시스트, ACS, ADR, DDΔ, HS, FK, FD, MK, PL, DF, 승패, rounds
56,2025-06-20-00-28,푸린,오멘,어센트,2,22,9,7,276.1,195,87,43,2,0,0,3,1,v,13
56,2025-06-20-00-28,눈꽃,제트,어센트,3,18,13,2,255.95,155,-5,34,5,1,0,0,0,v,13
56,2025-06-20-00-28,백곰파,바이스,어센트,5,14,10,5,184.8,126,-34,26,1,0,0,1,0,v,13
56,2025-06-20-00-28,임나은,소바,어센트,8,11,11,7,164.6,97,-106,5,1,2,0,2,1,v,13
56,2025-06-20-00-28,강지형,요루,어센트,4,15,16,3,210.4,126,-18,11,1,6,0,0,0,l,7
56,2025-06-20-00-28,아구이뽀,오멘,어센트,6,13,18,3,182.35,115,-53,13,0,0,0,2,1,l,7
56,2025-06-20-00-28,따효니,킬조이,어센트,7,11,18,4,167.4,117,-37,16,0,3,0,0,0,l,7
56,2025-06-20-00-28,강지,제트,어센트,9,8,18,3,138.2,92,-70,13,2,4,0,1,0,l,7
56,2025-06-20-00-28,뱅,소바,어센트,10,7,19,8,134.3,95,-82,6,1,3,0,3,0,l,7
57,2025-06-20-01-19,조별하,레이나,스플릿,3,22,16,5,263.29,167,43,14,3,2,0,0,1,v,13
57,2025-06-20-01-19,푸린,소바,스플릿,5,19,15,6,226.83,160,54,23,1,3,0,1,1,v,13
57,2025-06-20-01-19,백곰파,바이스,스플릿,6,16,17,6,201.13,130,-1,6,1,1,0,1,0,v,13
57,2025-06-20-01-19,눈꽃,제트,스플릿,7,14,18,4,173.08,118,-18,22,7,3,0,0,2,v,13
57,2025-06-20-01-19,임나은,오멘,스플릿,8,13,19,11,168.79,97,-35,11,0,3,0,4,0,v,13
57,2025-06-20-01-19,강지형,요루,스플릿,1,25,19,10,311.67,208,57,14,2,3,0,1,0,l,11
57,2025-06-20-01-19,뱅,페이드,스플릿,2,23,16,12,276.04,152,1,12,4,1,0,6,1,l,11
57,2025-06-20-01-19,강지,제트,스플릿,4,22,17,5,242.04,143,6,15,5,3,0,0,0,l,11
57,2025-06-20-01-19,아구이뽀,오멘,스플릿,9,8,15,7,102.79,64,-52,10,0,2,0,1,0,l,11
57,2025-06-20-01-19,따효니,킬조이,스플릿,10,7,17,1,85.83,64,-54,11,1,3,0,0,0,l,11


